model_name,model_type,gpu,run,filename,num_queries,total_input_tokens,total_output_tokens,total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_input_tokens,max_input_tokens,min_output_tokens,max_output_tokens
Llama-3.1-8B,Local,H100,7,Llama-3.1-8B_H100_run7_2238855.out,100,7345,469890,477235,73.5,4698.9,4772.4,,,,
Llama-3.1-8B,Local,H200,5,Llama-3.1-8B_H200_run5_2238873.out,100,7799,386510,394309,78.0,3865.1,3943.1,,,,
Llama-3.1-8B,Local,H200,10,Llama-3.1-8B_H200_run10_2238878.out,100,8083,555708,563791,80.8,5557.1,5637.9,,,,
Llama-3.1-8B,Local,H100-PCI,3,Llama-3.1-8B_H100-PCI_run3_2238861.out,100,7594,431924,439518,75.9,4319.2,4395.2,,,,
Llama-3.1-8B,Local,H100,2,Llama-3.1-8B_H100_run2_2238850.out,100,8534,390294,398828,85.3,3902.9,3988.3,,,,
Llama-3.1-8B,Local,H200,2,Llama-3.1-8B_H200_run2_2238869.out,100,8534,390294,398828,85.3,3902.9,3988.3,,,,
Llama-3.1-8B,Local,H100,9,Llama-3.1-8B_H100_run9_2238858.out,100,8308,401823,410131,83.1,4018.2,4101.3,,,,
Llama-3.1-8B,Local,H100-PCI,1,Llama-3.1-8B_H100-PCI_run1_2238006.out,100,8467,400775,409242,84.7,4007.8,4092.4,,,,
Llama-3.1-8B,Local,H200,7,Llama-3.1-8B_H200_run7_2238875.out,100,7345,469890,477235,73.5,4698.9,4772.4,,,,
Llama-3.1-8B,Local,H100-PCI,8,Llama-3.1-8B_H100-PCI_run8_2238866.out,100,8209,404468,412677,82.1,4044.7,4126.8,,,,
Llama-3.1-8B,Local,H100-PCI,4,Llama-3.1-8B_H100-PCI_run4_2238862.out,100,8796,478034,486830,88.0,4780.3,4868.3,,,,
Llama-3.1-8B,Local,H100-PCI,10,Llama-3.1-8B_H100-PCI_run10_2238868.out,100,8083,555708,563791,80.8,5557.1,5637.9,,,,
Llama-3.1-8B,Local,H100,5,Llama-3.1-8B_H100_run5_2238853.out,100,7799,386510,394309,78.0,3865.1,3943.1,,,,
Llama-3.1-8B,Local,H100,1,Llama-3.1-8B_H100_run1_2238005.out,100,8467,400775,409242,84.7,4007.8,4092.4,,,,
Llama-3.1-8B,Local,H100-PCI,7,Llama-3.1-8B_H100-PCI_run7_2238865.out,100,7345,469890,477235,73.5,4698.9,4772.4,,,,
Llama-3.1-8B,Local,H200,8,Llama-3.1-8B_H200_run8_2238876.out,100,8209,404468,412677,82.1,4044.7,4126.8,,,,
Llama-3.1-8B,Local,H100,6,Llama-3.1-8B_H100_run6_2238854.out,100,8076,435399,443475,80.8,4354.0,4434.8,,,,
Llama-3.1-8B,Local,H200,3,Llama-3.1-8B_H200_run3_2238870.out,100,7594,431924,439518,75.9,4319.2,4395.2,,,,
Llama-3.1-8B,Local,H200,1,Llama-3.1-8B_H200_run1_2238007.out,100,8467,400775,409242,84.7,4007.8,4092.4,,,,
Llama-3.1-8B,Local,H200,4,Llama-3.1-8B_H200_run4_2238872.out,100,8796,478034,486830,88.0,4780.3,4868.3,,,,
Llama-3.1-8B,Local,H100,8,Llama-3.1-8B_H100_run8_2238857.out,100,8209,404468,412677,82.1,4044.7,4126.8,,,,
Llama-3.1-8B,Local,H100-PCI,2,Llama-3.1-8B_H100-PCI_run2_2238860.out,100,8534,390294,398828,85.3,3902.9,3988.3,,,,
Llama-3.1-8B,Local,H100,3,Llama-3.1-8B_H100_run3_2238851.out,100,7594,431924,439518,75.9,4319.2,4395.2,,,,
Llama-3.1-8B,Local,H200,6,Llama-3.1-8B_H200_run6_2238874.out,100,8076,435399,443475,80.8,4354.0,4434.8,,,,
Llama-3.1-8B,Local,H100-PCI,9,Llama-3.1-8B_H100-PCI_run9_2238867.out,100,8308,401823,410131,83.1,4018.2,4101.3,,,,
Llama-3.1-8B,Local,H100,10,Llama-3.1-8B_H100_run10_2238859.out,100,8083,555708,563791,80.8,5557.1,5637.9,,,,
Llama-3.1-8B,Local,H100-PCI,5,Llama-3.1-8B_H100-PCI_run5_2238863.out,100,7799,386510,394309,78.0,3865.1,3943.1,,,,
Llama-3.1-8B,Local,H100,4,Llama-3.1-8B_H100_run4_2238852.out,100,8796,478034,486830,88.0,4780.3,4868.3,,,,
