model,tier,run_number,start_datetime,end_datetime,samples_processed,failed_calls,total_batch_time_seconds,total_api_time_seconds,avg_api_call_seconds,total_input_tokens,total_output_tokens,total_tokens,throughput_tokens_per_second,source_file
open-mistral-7b,free,85,2025-11-19 07:06:49,2025-11-19 07:19:20,100,0,751,751,7.52,8923,101830,110753,135.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,86,2025-11-19 07:49:21,2025-11-19 08:01:40,100,0,739,739,7.40,8923,103001,111924,139.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,87,2025-11-19 08:31:41,2025-11-19 08:42:47,100,0,666,666,6.67,8923,93019,101942,139.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,88,2025-11-19 09:12:48,2025-11-19 09:25:55,100,0,787,787,7.88,8923,110999,119922,140.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,89,2025-11-19 09:55:56,2025-11-19 10:07:13,100,0,677,677,6.78,8923,95717,104640,141.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,90,2025-11-19 10:37:14,2025-11-19 10:48:46,100,0,692,692,6.93,8923,99132,108055,143.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,91,2025-11-19 11:18:46,2025-11-19 11:29:46,100,0,660,660,6.60,8923,93062,101985,141.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,92,2025-11-19 11:59:47,2025-11-19 12:10:21,99,1,635,634,6.41,8784,93121,101905,146.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,93,2025-11-19 12:40:22,2025-11-19 12:50:35,100,0,613,613,6.14,8923,89597,98520,146.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,94,2025-11-19 13:20:36,2025-11-19 13:31:04,100,0,628,628,6.28,8923,93476,102399,148.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,95,2025-11-19 14:01:04,2025-11-19 14:26:36,100,0,1532,1532,15.32,8923,94060,102983,61.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,96,2025-11-19 14:56:36,2025-11-19 15:07:48,100,0,672,672,6.73,8923,98981,107904,147.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,97,2025-11-19 15:37:49,2025-11-19 15:49:48,100,0,719,719,7.19,8923,103710,112633,144.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,98,2025-11-19 16:19:48,2025-11-19 16:30:38,100,0,650,650,6.51,8923,96363,105286,148.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,99,2025-11-19 17:00:39,2025-11-19 17:11:48,100,0,669,669,6.69,8923,94586,103509,141.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,100,2025-11-19 17:41:48,2025-11-19 17:52:52,100,0,664,664,6.65,8923,94839,103762,142.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,101,2025-11-19 18:22:53,2025-11-19 18:33:45,100,0,652,652,6.52,8923,94563,103486,145.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,1,2025-11-19 22:11:51,2025-11-19 22:23:07,100,0,676,676,6.76,8923,98105,107028,145.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,2,2025-11-19 22:53:08,2025-11-19 23:03:49,100,0,641,641,6.41,8923,94302,103225,147.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,3,2025-11-19 23:33:49,2025-11-19 23:45:44,100,0,715,715,7.16,8923,104969,113892,146.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,4,2025-11-20 00:15:45,2025-11-20 00:26:15,100,0,630,630,6.31,8923,93661,102584,148.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,5,2025-11-20 00:56:15,2025-11-20 01:08:53,100,0,758,758,7.58,8923,99758,108681,131.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,6,2025-11-20 01:38:54,2025-11-20 01:49:39,100,0,645,645,6.45,8923,94410,103333,146.3,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,7,2025-11-20 02:19:39,2025-11-20 02:30:15,100,0,636,636,6.36,8923,93670,102593,147.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,8,2025-11-20 03:00:15,2025-11-20 03:11:05,100,0,650,650,6.51,8923,96094,105017,147.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,9,2025-11-20 03:41:06,2025-11-20 03:51:50,100,0,644,644,6.45,8923,95809,104732,148.6,open-mistral-7b_scheduled3_2318100.out
