Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-Instruct-v0.3,H100,10,Distance,1.244346
Local,Mistral-7B-Instruct-v0.3,H100,1,Energy,0.349748
Local,Mistral-7B-Instruct-v0.3,H100,2,Energy,0.341989
Local,Mistral-7B-Instruct-v0.3,H100,3,Energy,0.354317
Local,Mistral-7B-Instruct-v0.3,H100,4,Energy,0.346466
Local,Mistral-7B-Instruct-v0.3,H100,5,Energy,0.356924
Local,Mistral-7B-Instruct-v0.3,H100,6,Energy,0.341643
Local,Mistral-7B-Instruct-v0.3,H100,7,Energy,0.353691
Local,Mistral-7B-Instruct-v0.3,H100,8,Energy,0.34607
Local,Mistral-7B-Instruct-v0.3,H100,9,Energy,0.35421
Local,Mistral-7B-Instruct-v0.3,H100,10,Energy,0.351141
Local,Mistral-7B-Instruct-v0.3,H100,1,Time,00:27:44
Local,Mistral-7B-Instruct-v0.3,H100,2,Time,00:28:06
Local,Mistral-7B-Instruct-v0.3,H100,3,Time,00:28:00
Local,Mistral-7B-Instruct-v0.3,H100,4,Time,00:27:14
Local,Mistral-7B-Instruct-v0.3,H100,5,Time,00:27:05
Local,Mistral-7B-Instruct-v0.3,H100,6,Time,00:28:03
Local,Mistral-7B-Instruct-v0.3,H100,7,Time,00:27:54
Local,Mistral-7B-Instruct-v0.3,H100,8,Time,00:27:14
Local,Mistral-7B-Instruct-v0.3,H100,9,Time,00:27:45
Local,Mistral-7B-Instruct-v0.3,H100,10,Time,00:27:53
Local,Mistral-7B-Instruct-v0.3,H100-PCI,1,CO2eq,111.292224
Local,Mistral-7B-Instruct-v0.3,H100-PCI,2,CO2eq,113.19747
Local,Mistral-7B-Instruct-v0.3,H100-PCI,3,CO2eq,114.387348
Local,Mistral-7B-Instruct-v0.3,H100-PCI,4,CO2eq,113.424362
Local,Mistral-7B-Instruct-v0.3,H100-PCI,5,CO2eq,111.988247
Local,Mistral-7B-Instruct-v0.3,H100-PCI,6,CO2eq,111.394089
Local,Mistral-7B-Instruct-v0.3,H100-PCI,7,CO2eq,113.494814
Local,Mistral-7B-Instruct-v0.3,H100-PCI,8,CO2eq,114.169062
Local,Mistral-7B-Instruct-v0.3,H100-PCI,9,CO2eq,113.282148
Local,Mistral-7B-Instruct-v0.3,H100-PCI,10,CO2eq,112.147101
Local,Mistral-7B-Instruct-v0.3,H100-PCI,1,Distance,1.035277
Local,Mistral-7B-Instruct-v0.3,H100-PCI,2,Distance,1.053
Local,Mistral-7B-Instruct-v0.3,H100-PCI,3,Distance,1.064068
Local,Mistral-7B-Instruct-v0.3,H100-PCI,4,Distance,1.05511
Local,Mistral-7B-Instruct-v0.3,H100-PCI,5,Distance,1.041751
Local,Mistral-7B-Instruct-v0.3,H100-PCI,6,Distance,1.036224
Local,Mistral-7B-Instruct-v0.3,H100-PCI,7,Distance,1.055766
Local,Mistral-7B-Instruct-v0.3,H100-PCI,8,Distance,1.062038
Local,Mistral-7B-Instruct-v0.3,H100-PCI,9,Distance,1.053787
Local,Mistral-7B-Instruct-v0.3,H100-PCI,10,Distance,1.043229
Local,Mistral-7B-Instruct-v0.3,H100-PCI,1,Energy,0.292144
Local,Mistral-7B-Instruct-v0.3,H100-PCI,2,Energy,0.297145
Local,Mistral-7B-Instruct-v0.3,H100-PCI,3,Energy,0.300268
Local,Mistral-7B-Instruct-v0.3,H100-PCI,4,Energy,0.29774
Local,Mistral-7B-Instruct-v0.3,H100-PCI,5,Energy,0.293971
Local,Mistral-7B-Instruct-v0.3,H100-PCI,6,Energy,0.292411
Local,Mistral-7B-Instruct-v0.3,H100-PCI,7,Energy,0.297925
Local,Mistral-7B-Instruct-v0.3,H100-PCI,8,Energy,0.299695
Local,Mistral-7B-Instruct-v0.3,H100-PCI,9,Energy,0.297367
Local,Mistral-7B-Instruct-v0.3,H100-PCI,10,Energy,0.294388
Local,Mistral-7B-Instruct-v0.3,H100-PCI,1,Time,00:30:15
Local,Mistral-7B-Instruct-v0.3,H100-PCI,2,Time,00:30:20
Local,Mistral-7B-Instruct-v0.3,H100-PCI,3,Time,00:30:31
Local,Mistral-7B-Instruct-v0.3,H100-PCI,4,Time,00:30:30
Local,Mistral-7B-Instruct-v0.3,H100-PCI,5,Time,00:30:06
Local,Mistral-7B-Instruct-v0.3,H100-PCI,6,Time,00:30:14
Local,Mistral-7B-Instruct-v0.3,H100-PCI,7,Time,00:30:26
Local,Mistral-7B-Instruct-v0.3,H100-PCI,8,Time,00:30:27
Local,Mistral-7B-Instruct-v0.3,H100-PCI,9,Time,00:30:28
Local,Mistral-7B-Instruct-v0.3,H100-PCI,10,Time,00:30:08
Local,Mistral-7B-Instruct-v0.3,H200,1,CO2eq,129.121576
Local,Mistral-7B-Instruct-v0.3,H200,2,CO2eq,128.785766
Local,Mistral-7B-Instruct-v0.3,H200,3,CO2eq,129.340284
Local,Mistral-7B-Instruct-v0.3,H200,4,CO2eq,132.336347
Local,Mistral-7B-Instruct-v0.3,H200,5,CO2eq,129.118818
Local,Mistral-7B-Instruct-v0.3,H200,6,CO2eq,128.763529
Local,Mistral-7B-Instruct-v0.3,H200,7,CO2eq,132.03181
Local,Mistral-7B-Instruct-v0.3,H200,8,CO2eq,129.341614
Local,Mistral-7B-Instruct-v0.3,H200,9,CO2eq,129.243653
Local,Mistral-7B-Instruct-v0.3,H200,10,CO2eq,128.61188
Local,Mistral-7B-Instruct-v0.3,H200,1,Distance,1.201131
Local,Mistral-7B-Instruct-v0.3,H200,2,Distance,1.198007
Local,Mistral-7B-Instruct-v0.3,H200,3,Distance,1.203165
Local,Mistral-7B-Instruct-v0.3,H200,4,Distance,1.231036
Local,Mistral-7B-Instruct-v0.3,H200,5,Distance,1.201105
Local,Mistral-7B-Instruct-v0.3,H200,6,Distance,1.1978
Local,Mistral-7B-Instruct-v0.3,H200,7,Distance,1.228203
Local,Mistral-7B-Instruct-v0.3,H200,8,Distance,1.203178
Local,Mistral-7B-Instruct-v0.3,H200,9,Distance,1.202267
Local,Mistral-7B-Instruct-v0.3,H200,10,Distance,1.19639
Local,Mistral-7B-Instruct-v0.3,H200,1,Energy,0.338946
Local,Mistral-7B-Instruct-v0.3,H200,2,Energy,0.338064
Local,Mistral-7B-Instruct-v0.3,H200,3,Energy,0.33952
Local,Mistral-7B-Instruct-v0.3,H200,4,Energy,0.347385
Local,Mistral-7B-Instruct-v0.3,H200,5,Energy,0.338939
Local,Mistral-7B-Instruct-v0.3,H200,6,Energy,0.338006
Local,Mistral-7B-Instruct-v0.3,H200,7,Energy,0.346585
Local,Mistral-7B-Instruct-v0.3,H200,8,Energy,0.339523
Local,Mistral-7B-Instruct-v0.3,H200,9,Energy,0.339266
Local,Mistral-7B-Instruct-v0.3,H200,10,Energy,0.337608
Local,Mistral-7B-Instruct-v0.3,H200,1,Time,00:25:57
Local,Mistral-7B-Instruct-v0.3,H200,2,Time,00:25:58
Local,Mistral-7B-Instruct-v0.3,H200,3,Time,00:25:52
Local,Mistral-7B-Instruct-v0.3,H200,4,Time,00:26:08
Local,Mistral-7B-Instruct-v0.3,H200,5,Time,00:25:57
Local,Mistral-7B-Instruct-v0.3,H200,6,Time,00:26:00
Local,Mistral-7B-Instruct-v0.3,H200,7,Time,00:26:02
Local,Mistral-7B-Instruct-v0.3,H200,8,Time,00:25:59
Local,Mistral-7B-Instruct-v0.3,H200,9,Time,00:26:03
Local,Mistral-7B-Instruct-v0.3,H200,10,Time,00:25:53
Local,Mistral-7B-v0.3,A100-40GB,1,CO2eq,185.376791
Local,Mistral-7B-v0.3,A100-40GB,2,CO2eq,188.463683
Local,Mistral-7B-v0.3,A100-40GB,3,CO2eq,188.085435
Local,Mistral-7B-v0.3,A100-40GB,4,CO2eq,183.353666
Local,Mistral-7B-v0.3,A100-40GB,5,CO2eq,185.467185
Local,Mistral-7B-v0.3,A100-40GB,6,CO2eq,188.995306
Local,Mistral-7B-v0.3,A100-40GB,7,CO2eq,188.234245
Local,Mistral-7B-v0.3,A100-40GB,8,CO2eq,183.673452
Local,Mistral-7B-v0.3,A100-40GB,9,CO2eq,185.246586
Local,Mistral-7B-v0.3,A100-40GB,10,CO2eq,188.74902
Local,Mistral-7B-v0.3,A100-40GB,1,Distance,1.724435
Local,Mistral-7B-v0.3,A100-40GB,2,Distance,1.753151
Local,Mistral-7B-v0.3,A100-40GB,3,Distance,1.749632
Local,Mistral-7B-v0.3,A100-40GB,4,Distance,1.705615
Local,Mistral-7B-v0.3,A100-40GB,5,Distance,1.725276
Local,Mistral-7B-v0.3,A100-40GB,6,Distance,1.758096
Local,Mistral-7B-v0.3,A100-40GB,7,Distance,1.751016
Local,Mistral-7B-v0.3,A100-40GB,8,Distance,1.70859
Local,Mistral-7B-v0.3,A100-40GB,9,Distance,1.723224
Local,Mistral-7B-v0.3,A100-40GB,10,Distance,1.755805
Local,Mistral-7B-v0.3,A100-40GB,1,Energy,0.486617
Local,Mistral-7B-v0.3,A100-40GB,2,Energy,0.49472
Local,Mistral-7B-v0.3,A100-40GB,3,Energy,0.493727
Local,Mistral-7B-v0.3,A100-40GB,4,Energy,0.481306
Local,Mistral-7B-v0.3,A100-40GB,5,Energy,0.486854
Local,Mistral-7B-v0.3,A100-40GB,6,Energy,0.496115
Local,Mistral-7B-v0.3,A100-40GB,7,Energy,0.494117
Local,Mistral-7B-v0.3,A100-40GB,8,Energy,0.482145
Local,Mistral-7B-v0.3,A100-40GB,9,Energy,0.486275
Local,Mistral-7B-v0.3,A100-40GB,10,Energy,0.495469
Local,Mistral-7B-v0.3,A100-40GB,1,Time,01:03:57
Local,Mistral-7B-v0.3,A100-40GB,2,Time,01:03:53
Local,Mistral-7B-v0.3,A100-40GB,3,Time,01:04:12
Local,Mistral-7B-v0.3,A100-40GB,4,Time,01:03:58
